性別,年齡,悲傷- 患者反應1,悲傷- 患者反應2,悲傷- 患者反應3,悲傷- 這是由特別事件引起的嗎？,悲傷- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,悲傷- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,悲傷- 謝謝。現在我會問一些問題以了解您的情況。,悲傷- 您是否對某人有強烈的感受或表達以下任何情緒：,悲傷- 您認為您應該成為別人的救星嗎？,悲傷- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,悲傷- 您覺得您在試圖控制某人嗎？,悲傷- 當出現問題時，您是否總是責怪和指責自己？,悲傷- 在之前的對話中，您是否考慮過其他提出的觀點？,悲傷- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,憤怒- 患者反應1,憤怒- 患者反應2,憤怒- 患者反應3,憤怒- 這是由特別事件引起的嗎？,憤怒- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,憤怒- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,憤怒- 謝謝。現在我會問一些問題以了解您的情況。,憤怒- 您是否對某人有強烈的感受或表達以下任何情緒：,憤怒- 您認為您應該成為別人的救星嗎？,憤怒- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,憤怒- 您覺得您在試圖控制某人嗎？,憤怒- 當出現問題時，您是否總是責怪和指責自己？,憤怒- 在之前的對話中，您是否考慮過其他提出的觀點？,憤怒- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,焦慮- 患者反應1,焦慮- 患者反應2,焦慮- 患者反應3,焦慮- 這是由特別事件引起的嗎？,焦慮- 這是由最近或遙遠的事件（或多個事件）引起的嗎？,焦慮- 您最近是否嘗試過協議6，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 您最近是否嘗試過協議11，並發現由於舊事件而重新點燃了無法控制的情緒？,焦慮- 謝謝。現在我會問一些問題以了解您的情況。,焦慮- 您是否對某人有強烈的感受或表達以下任何情緒：,焦慮- 您認為您應該成為別人的救星嗎？,焦慮- 您是否將自己視為受害者，將自己的負面情緒歸咎於他人？,焦慮- 您覺得您在試圖控制某人嗎？,焦慮- 當出現問題時，您是否總是責怪和指責自己？,焦慮- 在之前的對話中，您是否考慮過其他提出的觀點？,焦慮- 您是否正在經歷個人危機（與親人相處有困難，例如與朋友鬧翻）？,快樂- 患者反應1,快樂- 患者反應2,快樂- 患者反應3,快樂- 那很好！讓我推荐一個您可以嘗試的協議。,所有情緒- 根據您所說的，我相信您正在感受{}。這個對嗎？,所有情緒- 我很抱歉。請從下面的情緒中選擇最能反映您感受的情緒：,所有情緒- 感謝您的參與。再見,所有情緒- 這是我的建議，請選擇您想嘗試的協議,所有情緒- 請現在嘗試通過此協議。完成後，按“繼續”,所有情緒- 採取此協議後，您感覺更好還是更糟？,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺好多了）,所有情緒- 您想嘗試另一種協議嗎？ （病人感覺更糟）
女性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感覺不太好，我有一種伴隨焦慮而來的下沉感。,我覺得可能會發生一些不好的事情，而且我擔心它會發生。,我真的感覺不是很好，我有一種恐懼的感覺在我的肚子裡。,,,,,,,如果你幫助別人，你認為對你有幫助嗎？,我想知道你是否覺得別人的行為讓你有這種感覺。你會因為你現在的感受而責怪別人嗎？,是否希望你能影響某人或某事？,很抱歉，您感覺不太好，我想知道您是否為此將責任歸咎於自己。你認為你總是為每一個問題責備自己嗎？,你會說你在和別人聊天的時候總是能考慮到別人的觀點和意見嗎？,我擔心你的感受。此刻您的生活中是否有特別艱難的時刻？,我感覺很好謝謝,一切順利，我很高興地說,謝謝你的提問，我的狀況挺好的,很高興聽到這個。我正在考慮一項可能會讓您感覺更好的協議，您想听更多嗎？,我想說您現在感覺{}，您認為這是對您當前心情的合理描述嗎？,我真的很抱歉我做錯了。也許以下情緒之一會更準確地描述它？,我很高興你能參加。我希望我們能盡快聯繫，再次感謝。,,,,,
男性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,今天是漫長的一天，會議的進展讓我對我在這家公司的未來感到茫然,現在在搶劫襲擊後我的生活極度緊張,擔心我的測試結果會是什麼,,,,,,,我知道你現在正在經歷一個艱難的時刻，但請讓我調查一下，看看是否有更深層次的原因。你認為你可能有試圖拯救其他人的傾向嗎？,沒關係，謝謝。你會因為發生在你身上的事情而責怪任何人嗎？你認為自己是這一切的受害者嗎？,我很感激你對我敞開心扉。在這一切中，您是否看到自己試圖影響或控制他人的行為？,謝謝，你的情緒和感覺是有效的，我想了解更多。您是否總是覺得生活中的任何困境或問題都應該歸咎於您？,謝謝，我很欣賞你的誠實，在我看來你是一個非常開放的人，但是有時很容易過於執著於我們的信念，這會阻止我們作為個人成長。老實說，您是否覺得自己一直能夠接受其他人的觀點？,感謝您迄今為止分享的一切。如果我問您，您是否覺得自己正在經歷特別困難的情況，無論是與家人、朋友還是親人？,我做得很好，我得到了期待已久的晉升,這一天過得很好，我兒子拿到了冠軍,我感覺自己在世界之巔，這是我的結婚紀念日,,閱讀您告訴我的內容後，我相信您會感覺到{}，這是否足夠接近？,哦，對不起，我誤會了你。從列出的情緒中，您能否選擇最能定義您當前感受的情緒？,謝謝你，你很棒，很高興能一起解決這個問題。我希望你能很快回來。,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到有點害怕,我感到很不安,我現在很擔心,,,,,,,很抱歉讓您感到焦慮，如果還有其他因素在起作用，我希望嘗試更好地理解。你現在的感覺是否是因為相信你應該在他們需要幫助的時候幫助他們？,我明白。你是否覺得別人有錯，就好像他們讓你有這種感覺一樣？,我明白。也許您生活中的某個人沒有按照您認為的那樣行事，而您可能正在鼓勵他們改變自己的方式？,我知道了。看看你自己，你會說你總是覺得有責任感還是在出現問題時責備自己？,在過去與朋友或親人的對話中，每當他們與您分享時，您是否總是考慮過他們的觀點？,如果這些問題聽起來有點私人，我深表歉意。您是否正在經歷某種個人危機或緊急情況，這是否是您情緒的原因？,我感到開心,我感到欣喜若狂,我對我的生活感到滿意,太棒了，我很高興聽到它。我可以推荐一種治療方案來增強您的積極情緒嗎？,謝謝你對我敞開心扉。我假設您感覺{} 是否正確？,我深表歉意。請從下面的列表中選擇最能描述您的感受的情緒：,我很感激你的參與。我希望很快能再次與你合作。,,,,,
男性,50-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我害怕。我找不到我的兒子。,我很擔心，我的電話壞了。,我很害怕！一個瘋狂的斧頭殺人犯在我家。,,,,,,,你認為幫助別人是你的責任嗎？,你認為人們對你不公平嗎？,當有人做了你希望他們不會做的事情時，你真的很生氣嗎？,當出現問題時，您是否總是對自己感到難過？,你總是聽每個人和你說話嗎？,你覺得你現在可能正在經歷個人危機嗎？,我很好。,我很高興。,我太棒了。,極好的！ Dio 你認為你今天可能想嘗試一個協議？,我想您可能會感覺到{}，您認為這是真的嗎？,我很抱歉，我的錯。在您看來，您目前正在感受這些情緒中的哪些？,謝謝，你今天很棒。我希望我能很快見到你，再見！,,,,,
女性,30-39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我對自己的新冠檢測結果呈陽性感到擔憂和恐懼。,我感到不安和不安，我不明白為什麼。,我害怕在我的工作中不成功，感覺自己像個冒名頂替者。,,,,,,,您是否認為有時您會優先考慮其他人的問題並試圖拯救他們而不是處理自己的問題？,您是否認為自己可能會無意中發現自己將他人視為消極情緒的來源，並因此而覺得自己是受害者？,您認為在管理您的負面情緒時，您是否可能對生活中的某個人表現出控制性行為？,當出現問題時，您是否發現自己總是向內看，並指責和指責自己？,在過去的談話中，你是否認為你一直都充分考慮了別人提出的觀點？,您現在的個人生活中是否有任何事情造成了額外的壓力？,我太棒了，覺得我今天取得了很多成就。,我很高興我剛剛通過了考試。,我很高興，因為我剛被大學錄取。,很高興聽到！我可以給你看一個可能會增強你現在感覺的協議嗎？,聽你說，你好像感覺{}，我理解正確嗎？,對於誤會，我深表歉意。如果您可以在下方選擇一種真正反映您感受的情緒，那將非常有幫助。,非常感謝你的合作。我希望很快能在見到你。,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天很焦慮。,我今天真的很緊張。,我腦子裡想了很多。,,,,,,,您是否覺得自己有責任幫助他人？,您是否覺得自己受到了他人行為的負面影響？,您是否認為您可能會試圖控制另一個人，無論您是否有意？,你是否發現你總是為出錯的事情責備自己，即使它們是你無法控制的？,老實說，您是否也考慮過他人因您的言行而可能會有的感受，並且您是否考慮過他們的觀點？,如果我問，您目前是否正在經歷一些可能導致您度過困難時期的個人問題？,我很好！,我感覺好極了。,我感謝我現在所處的位置。,那挺好的！如果您願意，我有一些協議建議可以幫助您感覺更好。,聽完您的擔憂後，我認為您的感覺是{}，這是真的嗎？,我很抱歉誤解了你的感受。請告訴我您的感受，以便我更好地理解。,非常感謝你向我敞開心扉，告訴我你的感受。我很高興我們可以進行這次聊天，如果您需要我，我會在這裡。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我感到焦慮,我感到害怕,目前感覺不太好，因為我有焦慮,,,,,,,你認為自己是一個同理心的人嗎，總是為他人著想對你來說很重要嗎？,你會說你的感受是因為別人嗎？,在你生命的這個階段，你覺得有必要控制任何人嗎？,當事情出錯時，你總是傾向於責備自己嗎？,老實說，你會說你有能力從別人的角度看問題嗎？,你在生活中經歷過任何個人創傷嗎？,我感覺很神奇！,我在世界之巔！,感覺很好謝謝！,那太棒了！如果你想听一聽，我仍然可以推荐一個可以幫助建立這種良好感覺的協議。,我想您可能會感覺到{}，您同意嗎？,很抱歉對於這個誤會。你會說你此刻的感受是什麼？,非常感謝您參與其中。我希望很快能見到你。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天真的感覺不像我自己，我感到害怕和害怕,我只是今天感覺不對，我有這種嚴重的焦慮,我昨晚因為焦慮而睡不著,,,,,,,聽到您感到焦慮，我很抱歉，我想嘗試找出您有這種感覺的原因。你有沒有覺得大部分時間你可能把別人放在自己之前？,好吧，這是可以理解的。你覺得別人是你這種感覺的原因嗎？,好的，謝謝你。你認為你經常負責生活中的人或事嗎？,好吧，沒關係。有了這樣的感覺，當事情不順心時，你是否發現自己總是自責或沮喪？,好的謝謝。在過去的談話中，你有沒有嘗試過從對方的角度看問題，試圖更好地理解情況？,謝謝你的坦率和誠實，我想確保你沒事。考慮到正在發生的一切，您的社交和個人福祉目前是否受到特別嚴重的影響？,我感覺真的很好！,我準備好了，我等不及要開始新的一天了！,今天將是美好的一天，我能感覺到,這真的很好，我很高興聽到它。如果你願意，我可以建議一個協議來提升你的情緒。,綜合你剛才告訴我的一切，我相信你今天感覺{}，你認為這樣說公平嗎？,對不起，也許我不是最擅長閱讀人的。如果你不介意我問一下，你今天感覺如何，你能從下面的列表中選擇你覺得最接近你當前心情的嗎？,感謝您的時間。我相信我們會再次穿越的！,,,,,
女性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到很擔心，因為我可能會失去工作。,今天心情很緊張，要去面試。,我今天感到很害怕，因為我必須上法庭。,,,,,,,我想讓你知道我完全理解這種感覺是什麼感覺，我接下來的問題可能會幫助我理解表面之下發生的事情。你認為你可以試圖成為別人的救援者嗎？,好的，讓我們進一步探討一下。你認為你可能會讓別人對你對自己的感覺負責，可能將自己視為受害者嗎？,謝謝你和我談論這個。另一種可能性是，您可能試圖控制他人以減少焦慮，您認為情況可能是這樣嗎？,謝謝你，如果你同意的話，我希望我們能深入挖掘一下。當事情沒有按照你想要的方式發展時，你認為你總是為此責備自己嗎？,你認為從另一個人的角度看事情對你有幫助嗎？,在您的個人生活中是否有任何事情讓您感到困難？,我今天感覺很好，陽光明媚，是美好的一天。,超好的！我有一份新工作了。,我今天感到非常高興。,我真的很高興你有這種感覺。我想我可以推荐一個可以讓你感覺更快樂的協議，你想听聽嗎？,我聽到的是您感覺{}，是嗎？,哦，對不起，我誤會了。請選擇您認同的情緒：,我們已經結束了會議，我要感謝您抽出時間與我一起解決這個問題。再見。,,,,,
男性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感到害怕和不安。,老實說，我今天感到很焦慮。,我有點緊張。也許這只是我的焦慮。,,,,,,,我知道您現在感到有些不安和焦慮。你能告訴我更多關於你的感受嗎？您是否覺得需要幫助生活中的其他人以使自己感覺更好？,那就好，謝謝解答。我想問一下，如果您不介意，您是否覺得自己受到了傷害和/或其他人對您的負面情緒負責？,出於某種原因，想要控制生活中的事物或人是很常見的，尤其是當我們正在經歷一段艱難的時期並覺得沒有任何進展時。你有沒有可能試圖控制你認識的人？,您是否感覺到每當出現問題時，您總是傾向於責備和指責自己？,我希望你仔細思考並誠實地告訴我，如果你認為你最近一直在充分聽取其他人的建議，並認為值得採納這些建議。,雖然在生活中遇到一些困難是正常的，但與親人分手或與朋友鬧翻等重大事件有時會導致個人危機。你認為你現在可能正在經歷一場嚴重的危機嗎？,我感覺很好，我在我快樂的地方。,我做得很好，我今天感到很高興。,今天心情很好，好久沒有這麼開心了。,我很高興你心情很好。我可以向您推荐一個協議，您可以嘗試讓自己感覺更好！你怎麼認為？,根據你告訴我的內容，你似乎感覺{}，你認為這是準確的嗎？,對不起，也許我誤解了你的感受。我認為如果您能挑選出您認為最能代表您的情況的情感，那可能是最好的：,我要真誠地感謝您參與其中。我希望很快能見到你！,,,,,
女性,18-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我過的不太好，我真的無法面對這一天。,不好。我害怕未來的不定。,我就是無法面對這一天。抱歉。我現在需要自己一個人。,,,,,,,你是否覺得你最近有一種強烈的幫助他人的願望，你可能會過度擴展自己，以至於影響到你自己的生活？,你覺得有人可能對你目前的感受負責嗎？,當您應該接受事物的現狀並允許事物流動時，您是否覺得您可能正在嘗試控制情況的結果？,你是否總是讓自己為發生的任何事情負責，並為任何失敗歸咎於自己？,一般來說，你認為你總是傾聽別人的觀點並註意他們為什麼做他們所做的事情嗎？,我想問你關於你生活中的事情的總體情況。現在，您是否覺得與朋友或家人有未解決的問題？,我感覺很棒,我很好，準備好迎接這一天了。,我很好謝謝！,太好了，我為你高興！我可以推荐一個協議供您嘗試嗎？,謝謝你。我說您感覺{} 是否正確？,哦，對不起。能否請您告訴我您的感受：,謝謝你今天和我分享。想談什麼就回來找我。,,,,,
男性,40-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,我今天感覺真的很不舒服，就像我一直被跟踪一樣。,心都快跳出來了，今天好著急,我今天心情不好，就像有什麼東西緊緊抓住我的心，擠壓著它,,,,,,,你相信你有能力在任何時候拯救每一個人嗎？,你認為別人對你的負面情緒有過錯嗎？,你相信你可以操縱別人嗎，即使那不是你的本意？,當事情沒有按照應有的方式發展時，您是否總是要受到責備？當事情出錯時，你會成為被指責的人嗎？,你有沒有想過其他人可能提出的建議，哪些現在對你有幫助？,最近您和另一個人之間是否有讓您感到不適或沮喪的事件？,我今天感覺好極了，沒有什麼可以讓我失望。,今天會很精彩,今天對我來說將是一個愉快的好日子，我感覺很棒！,很高興聽到你心情很好。我實際上有一個有益的協議，你可以試試。,感謝你的分享。我的印像是你今天是{}，這是正確的嗎？,抱歉，那我一定是弄錯了。請告訴我，您正在經歷以下哪種情緒？,謝謝，非常感謝您參加本次活動。我期待著在不久的將來見到你。,,,,,
